0xC6D8	0x00A8
0x8859	0x00C0
0x8857	0x00C1
0x885D	0x00C8
0x885B	0x00C9
0x8866	0x00CA
0x8861	0x00D2
0x885F	0x00D3
0x886A	0x00E0
0x8868	0x00E1
0x886F	0x00E8
0x886D	0x00E9
0x88A7	0x00EA
0x8873	0x00EC
0x8871	0x00ED
0x8877	0x00F2
0x8875	0x00F3
0xC8FB	0x00F8
0x887B	0x00F9
0x8879	0x00FA
0x88A2	0x00FC
0x8856	0x0100
0x8867	0x0101
0x885A	0x0112
0x886C	0x0113
0x885C	0x011A
0x886E	0x011B
0x8870	0x012B
0xC8FC	0x014B
0x885E	0x014C
0x8874	0x014D
0xC8FA	0x0153
0x8878	0x016B
0x8858	0x01CD
0x8869	0x01CE
0x8872	0x01D0
0x8860	0x01D1
0x8876	0x01D2
0x887A	0x01D4
0x887C	0x01D6
0x887D	0x01D8
0x887E	0x01DA
0x88A1	0x01DC
0xC8F6	0x0250
0x886B	0x0251
0xC8F8	0x0254
0xC8F7	0x025B
0x88A8	0x0261
0xC8FE	0x026A
0xC8F9	0x0275
0xC8F5	0x0283
0xC8FD	0x028A
0xC6D9	0x02C6
0xC7F9	0x0401
0xC7F3	0x0410
0xC7F4	0x0411
0xC7F5	0x0412
0xC7F6	0x0413
0xC7F7	0x0414
0xC7F8	0x0415
0xC7FA	0x0416
0xC7FB	0x0417
0xC7FC	0x0418
0xC7FD	0x0419
0xC7FE	0x041A
0xC840	0x041B
0xC841	0x041C
0xC842	0x041D
0xC843	0x041E
0xC844	0x041F
0xC845	0x0420
0xC846	0x0421
0xC847	0x0422
0xC848	0x0423
0xC849	0x0424
0xC84A	0x0425
0xC84B	0x0426
0xC84C	0x0427
0xC84D	0x0428
0xC84E	0x0429
0xC84F	0x042A
0xC850	0x042B
0xC851	0x042C
0xC852	0x042D
0xC853	0x042E
0xC854	0x042F
0xC855	0x0430
0xC856	0x0431
0xC857	0x0432
0xC858	0x0433
0xC859	0x0434
0xC85A	0x0435
0xC85C	0x0436
0xC85D	0x0437
0xC85E	0x0438
0xC85F	0x0439
0xC860	0x043A
0xC861	0x043B
0xC862	0x043C
0xC863	0x043D
0xC864	0x043E
0xC865	0x043F
0xC866	0x0440
0xC867	0x0441
0xC868	0x0442
0xC869	0x0443
0xC86A	0x0444
0xC86B	0x0445
0xC86C	0x0446
0xC86D	0x0447
0xC86E	0x0448
0xC86F	0x0449
0xC870	0x044A
0xC871	0x044B
0xC872	0x044C
0xC873	0x044D
0xC874	0x044E
0xC875	0x044F
0xC85B	0x0451
0x8863	0x1EBE
0x88A4	0x1EBF
0x8865	0x1EC0
0x88A6	0x1EC1
0xC8D2	0x2116
0xC8D3	0x2121
0xC6B5	0x2170
0xC6B6	0x2171
0xC6B7	0x2172
0xC6B8	0x2173
0xC6B9	0x2174
0xC6BA	0x2175
0xC6BB	0x2176
0xC6BC	0x2177
0xC6BD	0x2178
0xC6BE	0x2179
0xC877	0x21B8
0xC878	0x21B9
0xC876	0x21E7
0xC6A1	0x2460
0xC6A2	0x2461
0xC6A3	0x2462
0xC6A4	0x2463
0xC6A5	0x2464
0xC6A6	0x2465
0xC6A7	0x2466
0xC6A8	0x2467
0xC6A9	0x2468
0xC6AA	0x2469
0xC6AB	0x2474
0xC6AC	0x2475
0xC6AD	0x2476
0xC6AE	0x2477
0xC6AF	0x2478
0xC6B0	0x2479
0xC6B1	0x247A
0xC6B2	0x247B
0xC6B3	0x247C
0xC6B4	0x247D
0xF9F9	0x2550
0xF9F8	0x2551
0xF9E6	0x2552
0xF9EF	0x2553
0xF9DD	0x2554
0xF9E8	0x2555
0xF9F1	0x2556
0xF9DF	0x2557
0xF9EC	0x2558
0xF9F5	0x2559
0xF9E3	0x255A
0xF9EE	0x255B
0xF9F7	0x255C
0xF9E5	0x255D
0xF9E9	0x255E
0xF9F2	0x255F
0xF9E0	0x2560
0xF9EB	0x2561
0xF9F4	0x2562
0xF9E2	0x2563
0xF9E7	0x2564
0xF9F0	0x2565
0xF9DE	0x2566
0xF9ED	0x2567
0xF9F6	0x2568
