0x2121	0x0020	# SPACE
0x2122	0x002C	# COMMA
0x2123	0x3001	# IDEOGRAPHIC COMMA
0x2124	0x3002	# IDEOGRAPHIC FULL STOP
0x2125	0x002E	# FULL STOP
0x2126	0x00B7	# MIDDLE DOT
0x2127	0x003B	# SEMICOLON
0x2128	0x003A	# COLON
0x2129	0x003F	# QUESTION MARK
0x212A	0x0021	# EXCLAMATION MARK
0x212B	0xFE30	# PRESENTATION FORM FOR VERTICAL TWO DOT LEADER
0x212C	0x2026	# HORIZONTAL ELLIPSIS
0x212D	0x2025	# TWO DOT LEADER
0x212E	0xFE50	# SMALL COMMA
0x212F	0xFE51	# SMALL IDEOGRAPHIC COMMA
0x2130	0xFE52	# SMALL FULL STOP
0x2131	0x2027	# HYPHENATION POINT
0x2132	0xFE54	# SMALL SEMICOLON
0x2133	0xFE55	# SMALL COLON
0x2134	0xFE56	# SMALL QUESTION MARK
0x2135	0xFE57	# SMALL EXCLAMATION MARK
0x213D	0xFE4B	# WAVY OVERLINE
0x213E	0x0028	# LEFT PARENTHESIS
0x213F	0x0029	# RIGHT PARENTHESIS
0x2140	0xFE35	# PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS
0x2141	0xFE36	# PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS
0x2142	0x007B	# LEFT CURLY BRACKET
0x2143	0x007D	# RIGHT CURLY BRACKET
0x2144	0xFE37	# PRESENTATION FORM FOR VERTICAL LEFT CURLY BRACKET
0x2145	0xFE38	# PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET
0x2146	0x3014	# LEFT TORTOISE SHELL BRACKET
0x2147	0x3015	# RIGHT TORTOISE SHELL BRACKET
0x2148	0xFE39	# PRESENTATION FORM FOR VERTICAL LEFT TORTOISE SHELL BRACKET
0x2149	0xFE3A	# PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET
0x214A	0x3010	# LEFT BLACK LENTICULAR BRACKET
0x214B	0x3011	# RIGHT BLACK LENTICULAR BRACKET
0x214C	0xFE3B	# PRESENTATION FORM FOR VERTICAL LEFT BLACK LENTICULAR BRACKET
0x214D	0xFE3C	# PRESENTATION FORM FOR VERTICAL RIGHT BLACK LENTICULAR BRACKET
0x214E	0x300A	# LEFT DOUBLE ANGLE BRACKET
0x214F	0x300B	# RIGHT DOUBLE ANGLE BRACKET
0x2150	0xFE3D	# PRESENTATION FORM FOR VERTICAL LEFT DOUBLE ANGLE BRACKET
0x2151	0xFE3E	# PRESENTATION FORM FOR VERTICAL RIGHT DOUBLE ANGLE BRACKET
0x2152	0x3008	# LEFT ANGLE BRACKET
0x2153	0x3009	# RIGHT ANGLE BRACKET
0x2154	0xFE3F	# PRESENTATION FORM FOR VERTICAL LEFT ANGLE BRACKET
0x2155	0xFE40	# PRESENTATION FORM FOR VERTICAL RIGHT ANGLE BRACKET
0x2156	0x300C	# LEFT CORNER BRACKET
0x2157	0x300D	# RIGHT CORNER BRACKET
0x2158	0xFE41	# PRESENTATION FORM FOR VERTICAL LEFT CORNER BRACKET
0x2159	0xFE42	# PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET
0x215A	0x300E	# LEFT WHITE CORNER BRACKET
0x215B	0x300F	# RIGHT WHITE CORNER BRACKET
0x215C	0xFE43	# PRESENTATION FORM FOR VERTICAL LEFT WHITE CORNER BRACKET
0x215D	0xFE44	# PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET
0x215E	0xFE59	# SMALL LEFT PARENTHESIS
0x215F	0xFE5A	# SMALL RIGHT PARENTHESIS
0x2160	0xFE5B	# SMALL LEFT CURLY BRACKET
0x2161	0xFE5C	# SMALL RIGHT CURLY BRACKET
0x2162	0xFE5D	# SMALL LEFT TORTOISE SHELL BRACKET
0x2163	0xFE5E	# SMALL RIGHT TORTOISE SHELL BRACKET
0x2164	0x2018	# LEFT SINGLE QUOTATION MARK
0x2165	0x2019	# RIGHT SINGLE QUOTATION MARK
0x2166	0x201C	# LEFT DOUBLE QUOTATION MARK
0x2167	0x201D	# RIGHT DOUBLE QUOTATION MARK
0x2168	0x301D	# REVERSED DOUBLE PRIME QUOTATION MARK
0x2169	0x301E	# DOUBLE PRIME QUOTATION MARK
0x216A	0x2035	# REVERSED PRIME
0x216B	0x2032	# PRIME
0x216C	0x0023	# NUMBER SIGN
0x216D	0x0026	# AMPERSAND
0x216E	0x2733	# EIGHT SPOKED ASTERISK
0x216F	0x203B	# REFERENCE MARK
0x2170	0x00A7	# SECTION SIGN
0x2171	0x3003	# DITTO MARK
0x2172	0x25CB	# WHITE CIRCLE
0x2173	0x25CF	# BLACK CIRCLE
0x2174	0x25B3	# WHITE UP-POINTING TRIANGLE
0x2175	0x25B2	# BLACK UP-POINTING TRIANGLE
0x2176	0x25CE	# BULLSEYE
0x2177	0x2606	# WHITE STAR
0x2178	0x2605	# BLACK STAR
0x2179	0x25C7	# WHITE DIAMOND
0x217A	0x25C6	# BLACK DIAMOND
0x217B	0x25A1	# WHITE SQUARE
0x217C	0x25A0	# BLACK SQUARE
0x217D	0x25BD	# WHITE DOWN-POINTING TRIANGLE
0x217E	0x25BC	# BLACK DOWN-POINTING TRIANGLE
0x2221	0x32A3	# CIRCLED IDEOGRAPH CORRECT
0x2222	0x2105	# CARE OF
0x2226	0x005F	# LOW LINE
0x2227	0xFE49	# DASHED OVERLINE
0x2228	0xFE4A	# CENTRELINE OVERLINE
0x2229	0xFE4D	# DASHED LOW LINE
0x222A	0xFE4E	# CENTRELINE LOW LINE
0x222D	0xFE5F	# SMALL NUMBER SIGN
0x222E	0xFE60	# SMALL AMPERSAND
0x222F	0xFE61	# SMALL ASTERISK
0x2230	0x002B	# PLUS SIGN
0x2231	0x002D	# HYPHEN-MINUS
