         (  0) |11111111|11111111|11011110|0 [25]        1ffffbc [25]
         (  1) |11111111|11111111|11011110|1 [25]        1ffffbd [25]
         (  2) |11111111|11111111|11011111|0 [25]        1ffffbe [25]
         (  3) |11111111|11111111|11011111|1 [25]        1ffffbf [25]
         (  4) |11111111|11111111|11100000|0 [25]        1ffffc0 [25]
         (  5) |11111111|11111111|11100000|1 [25]        1ffffc1 [25]
         (  6) |11111111|11111111|11100001|0 [25]        1ffffc2 [25]
         (  7) |11111111|11111111|11100001|1 [25]        1ffffc3 [25]
         (  8) |11111111|11111111|11100010|0 [25]        1ffffc4 [25]
         (  9) |11111111|11111111|11100010|1 [25]        1ffffc5 [25]
         ( 10) |11111111|11111111|11100011|0 [25]        1ffffc6 [25]
         ( 11) |11111111|11111111|11100011|1 [25]        1ffffc7 [25]
         ( 12) |11111111|11111111|11100100|0 [25]        1ffffc8 [25]
         ( 13) |11111111|11111111|11100100|1 [25]        1ffffc9 [25]
         ( 14) |11111111|11111111|11100101|0 [25]        1ffffca [25]
         ( 15) |11111111|11111111|11100101|1 [25]        1ffffcb [25]
         ( 16) |11111111|11111111|11100110|0 [25]        1ffffcc [25]
         ( 17) |11111111|11111111|11100110|1 [25]        1ffffcd [25]
         ( 18) |11111111|11111111|11100111|0 [25]        1ffffce [25]
         ( 19) |11111111|11111111|11100111|1 [25]        1ffffcf [25]
         ( 20) |11111111|11111111|11101000|0 [25]        1ffffd0 [25]
         ( 21) |11111111|11111111|11101000|1 [25]        1ffffd1 [25]
         ( 22) |11111111|11111111|11101001|0 [25]        1ffffd2 [25]
         ( 23) |11111111|11111111|11101001|1 [25]        1ffffd3 [25]
         ( 24) |11111111|11111111|11101010|0 [25]        1ffffd4 [25]
         ( 25) |11111111|11111111|11101010|1 [25]        1ffffd5 [25]
         ( 26) |11111111|11111111|11101011|0 [25]        1ffffd6 [25]
         ( 27) |11111111|11111111|11101011|1 [25]        1ffffd7 [25]
         ( 28) |11111111|11111111|11101100|0 [25]        1ffffd8 [25]
         ( 29) |11111111|11111111|11101100|1 [25]        1ffffd9 [25]
         ( 30) |11111111|11111111|11101101|0 [25]        1ffffda [25]
         ( 31) |11111111|11111111|11101101|1 [25]        1ffffdb [25]
     ' ' ( 32) |0000 [4]                                        0 [4]
     '!' ( 33) |11111111|1010 [12]                           ffa [12]
     '"' ( 34) |1101010 [7]                                    6a [7]
     '#' ( 35) |11111111|11010 [13]                         1ffa [13]
     '$' ( 36) |11111111|111100 [14]                        3ffc [14]
     '%' ( 37) |11110110|0 [9]                                1ec [9]
     '&' ( 38) |11111110|00 [10]                             3f8 [10]
     ''' ( 39) |11111111|11011 [13]                         1ffb [13]
     '(' ( 40) |11110110|1 [9]                                1ed [9]
     ')' ( 41) |11110111|0 [9]                                1ee [9]
     '*' ( 42) |11111111|1011 [12]                           ffb [12]
     '+' ( 43) |11111111|010 [11]                            7fa [11]
     ',' ( 44) |100010 [6]                                     22 [6]
     '-' ( 45) |100011 [6]                                     23 [6]
     '.' ( 46) |100100 [6]                                     24 [6]
     '/' ( 47) |1101011 [7]                                    6b [7]
     '0' ( 48) |0001 [4]                                        1 [4]
     '1' ( 49) |0010 [4]                                        2 [4]
     '2' ( 50) |0011 [4]                                        3 [4]
     '3' ( 51) |01000 [5]                                       8 [5]
     '4' ( 52) |01001 [5]                                       9 [5]
     '5' ( 53) |01010 [5]                                       a [5]
     '6' ( 54) |100101 [6]                                     25 [6]
     '7' ( 55) |100110 [6]                                     26 [6]
     '8' ( 56) |01011 [5]                                       b [5]
     '9' ( 57) |01100 [5]                                       c [5]
     ':' ( 58) |01101 [5]                                       d [5]
     ';' ( 59) |11110111|1 [9]                                1ef [9]
     '<' ( 60) |11111111|11111010| [16]                     fffa [16]
     '=' ( 61) |1101100 [7]                                    6c [7]
     '>' ( 62) |11111111|11100 [13]                         1ffc [13]
     '?' ( 63) |11111111|1100 [12]                           ffc [12]
     '@' ( 64) |11111111|11111011| [16]                     fffb [16]
     'A' ( 65) |1101101 [7]                                    6d [7]
     'B' ( 66) |11101010| [8]                                  ea [8]
     'C' ( 67) |11101011| [8]                                  eb [8]
     'D' ( 68) |11101100| [8]                                  ec [8]
     'E' ( 69) |11101101| [8]                                  ed [8]
     'F' ( 70) |11101110| [8]                                  ee [8]
     'G' ( 71) |100111 [6]                                     27 [6]
     'H' ( 72) |11111000|0 [9]                                1f0 [9]
     'I' ( 73) |11101111| [8]                                  ef [8]
     'J' ( 74) |11110000| [8]                                  f0 [8]
     'K' ( 75) |11111110|01 [10]                             3f9 [10]
     'L' ( 76) |11111000|1 [9]                                1f1 [9]
     'M' ( 77) |101000 [6]                                     28 [6]
     'N' ( 78) |11110001| [8]                                  f1 [8]
     'O' ( 79) |11110010| [8]                                  f2 [8]
     'P' ( 80) |11111001|0 [9]                                1f2 [9]
     'Q' ( 81) |11111110|10 [10]                             3fa [10]
     'R' ( 82) |11111001|1 [9]                                1f3 [9]
     'S' ( 83) |101001 [6]                                     29 [6]
     'T' ( 84) |01110 [5]                                       e [5]
     'U' ( 85) |11111010|0 [9]                                1f4 [9]
     'V' ( 86) |11111010|1 [9]                                1f5 [9]
     'W' ( 87) |11110011| [8]                                  f3 [8]
     'X' ( 88) |11111110|11 [10]                             3fb [10]
     'Y' ( 89) |11111011|0 [9]                                1f6 [9]
     'Z' ( 90) |11111111|00 [10]                             3fc [10]
     '[' ( 91) |11111111|011 [11]                            7fb [11]
     '\' ( 92) |11111111|11101 [13]                         1ffd [13]
     ']' ( 93) |11111111|100 [11]                            7fc [11]
     '^' ( 94) |11111111|1111100 [15]                       7ffc [15]
     '_' ( 95) |11111011|1 [9]                                1f7 [9]
     '`' ( 96) |11111111|11111111|0 [17]                   1fffe [17]
     'a' ( 97) |01111 [5]                                       f [5]
     'b' ( 98) |1101110 [7]                                    6e [7]
     'c' ( 99) |101010 [6]                                     2a [6]
     'd' (100) |101011 [6]                                     2b [6]
     'e' (101) |10000 [5]                                      10 [5]
     'f' (102) |1101111 [7]                                    6f [7]
     'g' (103) |1110000 [7]                                    70 [7]
     'h' (104) |1110001 [7]                                    71 [7]
     'i' (105) |101100 [6]                                     2c [6]
     'j' (106) |11111100|0 [9]                                1f8 [9]
     'k' (107) |11111100|1 [9]                                1f9 [9]
     'l' (108) |1110010 [7]                                    72 [7]
     'm' (109) |101101 [6]                                     2d [6]
     'n' (110) |101110 [6]                                     2e [6]
     'o' (111) |101111 [6]                                     2f [6]
     'p' (112) |110000 [6]                                     30 [6]
     'q' (113) |11111101|0 [9]                                1fa [9]
     'r' (114) |110001 [6]                                     31 [6]
     's' (115) |110010 [6]                                     32 [6]
     't' (116) |110011 [6]                                     33 [6]
     'u' (117) |110100 [6]                                     34 [6]
     'v' (118) |1110011 [7]                                    73 [7]
     'w' (119) |11110100| [8]                                  f4 [8]
     'x' (120) |1110100 [7]                                    74 [7]
     'y' (121) |11110101| [8]                                  f5 [8]
     'z' (122) |11111101|1 [9]                                1fb [9]
     '{' (123) |11111111|11111100| [16]                     fffc [16]
     '|' (124) |11111111|111101 [14]                        3ffd [14]
     '}' (125) |11111111|11111101| [16]                     fffd [16]
     '~' (126) |11111111|11111110| [16]                     fffe [16]
         (127) |11111111|11111111|11101110|0 [25]        1ffffdc [25]
         (128) |11111111|11111111|11101110|1 [25]        1ffffdd [25]
         (129) |11111111|11111111|11101111|0 [25]        1ffffde [25]
         (130) |11111111|11111111|11101111|1 [25]        1ffffdf [25]
         (131) |11111111|11111111|11110000|0 [25]        1ffffe0 [25]
         (132) |11111111|11111111|11110000|1 [25]        1ffffe1 [25]
         (133) |11111111|11111111|11110001|0 [25]        1ffffe2 [25]
         (134) |11111111|11111111|11110001|1 [25]        1ffffe3 [25]
         (135) |11111111|11111111|11110010|0 [25]        1ffffe4 [25]
         (136) |11111111|11111111|11110010|1 [25]        1ffffe5 [25]
         (137) |11111111|11111111|11110011|0 [25]        1ffffe6 [25]
         (138) |11111111|11111111|11110011|1 [25]        1ffffe7 [25]
         (139) |11111111|11111111|11110100|0 [25]        1ffffe8 [25]
         (140) |11111111|11111111|11110100|1 [25]        1ffffe9 [25]
         (141) |11111111|11111111|11110101|0 [25]        1ffffea [25]
         (142) |11111111|11111111|11110101|1 [25]        1ffffeb [25]
         (143) |11111111|11111111|11110110|0 [25]        1ffffec [25]
         (144) |11111111|11111111|11110110|1 [25]        1ffffed [25]
         (145) |11111111|11111111|11110111|0 [25]        1ffffee [25]
         (146) |11111111|11111111|11110111|1 [25]        1ffffef [25]
         (147) |11111111|11111111|11111000|0 [25]        1fffff0 [25]
         (148) |11111111|11111111|11111000|1 [25]        1fffff1 [25]
         (149) |11111111|11111111|11111001|0 [25]        1fffff2 [25]
         (150) |11111111|11111111|11111001|1 [25]        1fffff3 [25]
         (151) |11111111|11111111|11111010|0 [25]        1fffff4 [25]
         (152) |11111111|11111111|11111010|1 [25]        1fffff5 [25]
         (153) |11111111|11111111|11111011|0 [25]        1fffff6 [25]
         (154) |11111111|11111111|11111011|1 [25]        1fffff7 [25]
         (155) |11111111|11111111|11111100|0 [25]        1fffff8 [25]
         (156) |11111111|11111111|11111100|1 [25]        1fffff9 [25]
         (157) |11111111|11111111|11111101|0 [25]        1fffffa [25]
         (158) |11111111|11111111|11111101|1 [25]        1fffffb [25]
         (159) |11111111|11111111|11111110|0 [25]        1fffffc [25]
         (160) |11111111|11111111|11111110|1 [25]        1fffffd [25]
         (161) |11111111|11111111|11111111|0 [25]        1fffffe [25]
         (162) |11111111|11111111|11111111|1 [25]        1ffffff [25]
         (163) |11111111|11111111|10000000| [24]          ffff80 [24]
         (164) |11111111|11111111|10000001| [24]          ffff81 [24]
         (165) |11111111|11111111|10000010| [24]          ffff82 [24]
         (166) |11111111|11111111|10000011| [24]          ffff83 [24]
         (167) |11111111|11111111|10000100| [24]          ffff84 [24]
         (168) |11111111|11111111|10000101| [24]          ffff85 [24]
         (169) |11111111|11111111|10000110| [24]          ffff86 [24]
         (170) |11111111|11111111|10000111| [24]          ffff87 [24]
         (171) |11111111|11111111|10001000| [24]          ffff88 [24]
         (172) |11111111|11111111|10001001| [24]          ffff89 [24]
         (173) |11111111|11111111|10001010| [24]          ffff8a [24]
         (174) |11111111|11111111|10001011| [24]          ffff8b [24]
         (175) |11111111|11111111|10001100| [24]          ffff8c [24]
         (176) |11111111|11111111|10001101| [24]          ffff8d [24]
         (177) |11111111|11111111|10001110| [24]          ffff8e [24]
         (178) |11111111|11111111|10001111| [24]          ffff8f [24]
         (179) |11111111|11111111|10010000| [24]          ffff90 [24]
         (180) |11111111|11111111|10010001| [24]          ffff91 [24]
         (181) |11111111|11111111|10010010| [24]          ffff92 [24]
         (182) |11111111|11111111|10010011| [24]          ffff93 [24]
         (183) |11111111|11111111|10010100| [24]          ffff94 [24]
         (184) |11111111|11111111|10010101| [24]          ffff95 [24]
         (185) |11111111|11111111|10010110| [24]          ffff96 [24]
         (186) |11111111|11111111|10010111| [24]          ffff97 [24]
         (187) |11111111|11111111|10011000| [24]          ffff98 [24]
         (188) |11111111|11111111|10011001| [24]          ffff99 [24]
         (189) |11111111|11111111|10011010| [24]          ffff9a [24]
         (190) |11111111|11111111|10011011| [24]          ffff9b [24]
         (191) |11111111|11111111|10011100| [24]          ffff9c [24]
         (192) |11111111|11111111|10011101| [24]          ffff9d [24]
         (193) |11111111|11111111|10011110| [24]          ffff9e [24]
         (194) |11111111|11111111|10011111| [24]          ffff9f [24]
         (195) |11111111|11111111|10100000| [24]          ffffa0 [24]
         (196) |11111111|11111111|10100001| [24]          ffffa1 [24]
         (197) |11111111|11111111|10100010| [24]          ffffa2 [24]
         (198) |11111111|11111111|10100011| [24]          ffffa3 [24]
         (199) |11111111|11111111|10100100| [24]          ffffa4 [24]
         (200) |11111111|11111111|10100101| [24]          ffffa5 [24]
         (201) |11111111|11111111|10100110| [24]          ffffa6 [24]
         (202) |11111111|11111111|10100111| [24]          ffffa7 [24]
         (203) |11111111|11111111|10101000| [24]          ffffa8 [24]
         (204) |11111111|11111111|10101001| [24]          ffffa9 [24]
         (205) |11111111|11111111|10101010| [24]          ffffaa [24]
         (206) |11111111|11111111|10101011| [24]          ffffab [24]
         (207) |11111111|11111111|10101100| [24]          ffffac [24]
         (208) |11111111|11111111|10101101| [24]          ffffad [24]
         (209) |11111111|11111111|10101110| [24]          ffffae [24]
         (210) |11111111|11111111|10101111| [24]          ffffaf [24]
         (211) |11111111|11111111|10110000| [24]          ffffb0 [24]
         (212) |11111111|11111111|10110001| [24]          ffffb1 [24]
         (213) |11111111|11111111|10110010| [24]          ffffb2 [24]
         (214) |11111111|11111111|10110011| [24]          ffffb3 [24]
         (215) |11111111|11111111|10110100| [24]          ffffb4 [24]
         (216) |11111111|11111111|10110101| [24]          ffffb5 [24]
         (217) |11111111|11111111|10110110| [24]          ffffb6 [24]
         (218) |11111111|11111111|10110111| [24]          ffffb7 [24]
         (219) |11111111|11111111|10111000| [24]          ffffb8 [24]
         (220) |11111111|11111111|10111001| [24]          ffffb9 [24]
         (221) |11111111|11111111|10111010| [24]          ffffba [24]
         (222) |11111111|11111111|10111011| [24]          ffffbb [24]
         (223) |11111111|11111111|10111100| [24]          ffffbc [24]
         (224) |11111111|11111111|10111101| [24]          ffffbd [24]
         (225) |11111111|11111111|10111110| [24]          ffffbe [24]
         (226) |11111111|11111111|10111111| [24]          ffffbf [24]
         (227) |11111111|11111111|11000000| [24]          ffffc0 [24]
         (228) |11111111|11111111|11000001| [24]          ffffc1 [24]
         (229) |11111111|11111111|11000010| [24]          ffffc2 [24]
         (230) |11111111|11111111|11000011| [24]          ffffc3 [24]
         (231) |11111111|11111111|11000100| [24]          ffffc4 [24]
         (232) |11111111|11111111|11000101| [24]          ffffc5 [24]
         (233) |11111111|11111111|11000110| [24]          ffffc6 [24]
         (234) |11111111|11111111|11000111| [24]          ffffc7 [24]
         (235) |11111111|11111111|11001000| [24]          ffffc8 [24]
         (236) |11111111|11111111|11001001| [24]          ffffc9 [24]
         (237) |11111111|11111111|11001010| [24]          ffffca [24]
         (238) |11111111|11111111|11001011| [24]          ffffcb [24]
         (239) |11111111|11111111|11001100| [24]          ffffcc [24]
         (240) |11111111|11111111|11001101| [24]          ffffcd [24]
         (241) |11111111|11111111|11001110| [24]          ffffce [24]
         (242) |11111111|11111111|11001111| [24]          ffffcf [24]
         (243) |11111111|11111111|11010000| [24]          ffffd0 [24]
         (244) |11111111|11111111|11010001| [24]          ffffd1 [24]
         (245) |11111111|11111111|11010010| [24]          ffffd2 [24]
         (246) |11111111|11111111|11010011| [24]          ffffd3 [24]
         (247) |11111111|11111111|11010100| [24]          ffffd4 [24]
         (248) |11111111|11111111|11010101| [24]          ffffd5 [24]
         (249) |11111111|11111111|11010110| [24]          ffffd6 [24]
         (250) |11111111|11111111|11010111| [24]          ffffd7 [24]
         (251) |11111111|11111111|11011000| [24]          ffffd8 [24]
         (252) |11111111|11111111|11011001| [24]          ffffd9 [24]
         (253) |11111111|11111111|11011010| [24]          ffffda [24]
         (254) |11111111|11111111|11011011| [24]          ffffdb [24]
         (255) |11111111|11111111|11011100| [24]          ffffdc [24]
     EOS (256) |11111111|11111111|11011101| [24]          ffffdd [24]
