# Method, Target component, Property, Sub-component, Restriction
PUBLISH,VEVENT,NONE,NONE,ONEPLUS
PUBLISH,VEVENT,DTSTAMP,NONE,ONE
PUBLISH,VEVENT,DTSTART,NONE,ONE
PUBLISH,VEVENT,ORGANIZER,NONE,ONE
PUBLISH,VEVENT,SUMMARY,NONE,ONE
PUBLISH,VEVENT,UID,NONE,ONE
PUBLISH,VEVENT,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
PUBLISH,VEVENT,SEQUENCE,NONE,ZEROORONE
PUBLISH,VEVENT,ATTACH,NONE,ZEROPLUS
PUBLISH,VEVENT,CATEGORIES,NONE,ZEROPLUS #Non-standard
PUBLISH,VEVENT,CLASS,NONE,ZEROORONE
PUBLISH,VEVENT,COMMENT,NONE,ZEROORONE
PUBLISH,VEVENT,CONTACT,NONE,ZEROPLUS
PUBLISH,VEVENT,CREATED,NONE,ZEROORONE
PUBLISH,VEVENT,DESCRIPTION,NONE,ZEROORONE
PUBLISH,VEVENT,DTEND,NONE,ZEROORONE
PUBLISH,VEVENT,DURATION,NONE,ZEROORONE
PUBLISH,VEVENT,EXDATE,NONE,ZEROPLUS
PUBLISH,VEVENT,EXRULE,NONE,ZEROPLUS
PUBLISH,VEVENT,GEO,NONE,ZEROORONE
PUBLISH,VEVENT,LASTMODIFIED,NONE,ZEROORONE
PUBLISH,VEVENT,LOCATION,NONE,ZEROORONE
PUBLISH,VEVENT,PRIORITY,NONE,ZEROORONE
PUBLISH,VEVENT,RDATE,NONE,ZEROPLUS
PUBLISH,VEVENT,RELATEDTO,NONE,ZEROPLUS
PUBLISH,VEVENT,RESOURCES,NONE,ZEROORONE
PUBLISH,VEVENT,RRULE,NONE,ZEROPLUS
PUBLISH,VEVENT,STATUS,NONE,ZEROORONE,may_be_tent_conf_cancel
PUBLISH,VEVENT,TRANSP,NONE,ZEROORONE
PUBLISH,VEVENT,URL,NONE,ZEROORONE
PUBLISH,VEVENT,X,NONE,ZEROPLUS
PUBLISH,VEVENT,ATTENDEE,NONE,ZERO
PUBLISH,VEVENT,REQUESTSTATUS,NONE,ZERO
PUBLISH,VEVENT,NONE,VALARM,ZEROPLUS
PUBLISH,VEVENT,NONE,VFREEBUSY,ZERO
PUBLISH,VEVENT,NONE,VJOURNAL,ZERO
PUBLISH,VEVENT,NONE,VTODO,ZERO
PUBLISH,VEVENT,NONE,VTIMEZONE,ZEROPLUS,must_if_tz_ref
PUBLISH,VEVENT,NONE,X,ZEROPLUS
REQUEST,VEVENT,NONE,NONE,ONEPLUS
REQUEST,VEVENT,ATTENDEE,NONE,ONEPLUS
REQUEST,VEVENT,DTSTAMP,NONE,ONE
REQUEST,VEVENT,DTSTART,NONE,ONE
REQUEST,VEVENT,ORGANIZER,NONE,ONE
REQUEST,VEVENT,SEQUENCE,NONE,ZEROORONE
REQUEST,VEVENT,SUMMARY,NONE,ONE
REQUEST,VEVENT,UID,NONE,ONE
REQUEST,VEVENT,ATTACH,NONE,ZEROPLUS
REQUEST,VEVENT,CATEGORIES,NONE,ZEROPLUS #Non-standard
REQUEST,VEVENT,CLASS,NONE,ZEROORONE
REQUEST,VEVENT,COMMENT,NONE,ZEROORONE
REQUEST,VEVENT,CONTACT,NONE,ZEROPLUS
REQUEST,VEVENT,CREATED,NONE,ZEROORONE
REQUEST,VEVENT,DESCRIPTION,NONE,ZEROORONE
REQUEST,VEVENT,DTEND,NONE,ONEEXCLUSIVE,no_duration
REQUEST,VEVENT,DURATION,NONE,ONEEXCLUSIVE,no_dtend
REQUEST,VEVENT,EXDATE,NONE,ZEROPLUS
REQUEST,VEVENT,EXRULE,NONE,ZEROPLUS
REQUEST,VEVENT,GEO,NONE,ZEROORONE
REQUEST,VEVENT,LASTMODIFIED,NONE,ZEROORONE
REQUEST,VEVENT,LOCATION,NONE,ZEROORONE
REQUEST,VEVENT,PRIORITY,NONE,ZEROORONE
REQUEST,VEVENT,RDATE,NONE,ZEROPLUS
REQUEST,VEVENT,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
REQUEST,VEVENT,RELATEDTO,NONE,ZEROPLUS
REQUEST,VEVENT,REQUESTSTATUS,NONE,ZEROPLUS
REQUEST,VEVENT,RESOURCES,NONE,ZEROORONE
REQUEST,VEVENT,RRULE,NONE,ZEROPLUS
REQUEST,VEVENT,STATUS,NONE,ZEROORONE,may_be_tent_conf
REQUEST,VEVENT,TRANSP,NONE,ZEROORONE
REQUEST,VEVENT,URL,NONE,ZEROORONE
REQUEST,VEVENT,X,NONE,ZEROPLUS
REQUEST,VEVENT,NONE,VALARM,ZEROPLUS
REQUEST,VEVENT,NONE,VTIMEZONE,ZEROPLUS,must_if_tz_ref
REQUEST,VEVENT,NONE,X,ZEROPLUS
REQUEST,VEVENT,NONE,VFREEBUSY,ZERO
REQUEST,VEVENT,NONE,VJOURNAL,ZERO
REQUEST,VEVENT,NONE,VTODO,ZERO
REPLY,VEVENT,NONE,NONE,ONEPLUS
REPLY,VEVENT,ATTENDEE,NONE,ONE
REPLY,VEVENT,DTSTAMP,NONE,ONE
REPLY,VEVENT,ORGANIZER,NONE,ONE
REPLY,VEVENT,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
REPLY,VEVENT,UID,NONE,ONE
REPLY,VEVENT,SEQUENCE,NONE,ZEROORONE
REPLY,VEVENT,ATTACH,NONE,ZEROPLUS
REPLY,VEVENT,CATEGORIES,NONE,ZEROPLUS #Non-standard
REPLY,VEVENT,CLASS,NONE,ZEROORONE
REPLY,VEVENT,COMMENT,NONE,ZEROORONE
REPLY,VEVENT,CONTACT,NONE,ZEROPLUS
REPLY,VEVENT,CREATED,NONE,ZEROORONE
REPLY,VEVENT,DESCRIPTION,NONE,ZEROORONE
REPLY,VEVENT,DTEND,NONE,ONEEXCLUSIVE,no_duration
REPLY,VEVENT,DTSTART,NONE,ZEROORONE
REPLY,VEVENT,DURATION,NONE,ONEEXCLUSIVE,no_dtend
REPLY,VEVENT,EXDATE,NONE,ZEROPLUS
